STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN,TOBS,WT11
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030217,0,161,83,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030218,0,161,78,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030219,8,139,89,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030220,0,183,72,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030221,0,194,89,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030222,0,200,89,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030223,0,167,94,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030224,10,156,106,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030225,5,167,106,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030226,74,128,94,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030227,0,139,67,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030228,0,172,72,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030301,0,172,89,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030302,0,183,89,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030303,0,133,83,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030304,0,150,78,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030305,0,167,78,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030306,0,161,89,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030307,0,150,78,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030308,0,156,78,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030309,0,161,83,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030310,0,183,106,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030311,0,167,106,-9999,-9999
