Designated Stop Location,Hours,Muni,Zone or White Zone,Status
Polk St at O?Farrell St  NW corner,all day,Muni,Zone,Approved
Polk St at Union St NE corner,all day,Muni,Zone,Approved
Polk St at Union St NW corner,all day,Muni,Zone,Approved
Portola Dr at Teresita Blvd SE corner,all day,Muni,Zone,Approved
Post St at Gough St SW corner,all day,Muni,Zone,Approved
Post St at Powell St SE corner,all day,Muni,Zone,Approved
Potrero St at 25th    St SE corner,all day,Muni,Zone,Approved
Powell St at Filbert St NE corner,4pm-8pm,White,Zone,Approved
Powell St at Union St NW corner,6am-10am,White,Zone,Approved
San Jose Ave at Dolores St NW corner,6am-10am,White,Zone,Approved
San Jose Ave at 29th St SE corner,4pm-8pm,White,Zone,Approved
South Van Ness Ave at Market St SW corner,6am-10am,White,Zone,Approved
Stanyan St at Waller St NW corner,all day,Muni,Zone,Approved
Townsend St at 3rd St NW corner,all day,Muni,Zone,Approved
Townsend St at 3rd St SE corner,all day,Muni,Zone,Approved
Townsend St at 4th St NE corner,all day,Muni,Zone,Approved
"Townsend St at 4th Street south side, mid-block (between 4th and 5th St)",all day,White,Zone,Approved
Valencia St at 24th St SW corner,all day,Muni,Zone,Approved
Valencia St at 25th St NE corner,all day,Muni,Zone,Approved
Valencia St at 25th St SW corner,all day,Muni,Zone,Approved
Van Ness Ave at California St NE corner,all day,Muni,Zone,Approved
Van Ness Ave at Grove St NE corner,all day,Muni,Zone,Approved
Van Ness Ave at McAllister St SW corner,all day,Muni,Zone,Approved
Van Ness Ave at Sacramento St NW corner,all day,Muni,Zone,Approved
Van Ness Ave at Sacramento St SW corner,6am-10am,White,Zone,Approved
Van Ness Ave at Union St SE corner,all day,Muni,Zone,Approved
Van Ness Ave at Union St SW corner,6am-10am,White,Zone,Approved
